,oem,version,segment,size,mass_in_running_order(kg),distance_between_axles,area(m²),conpet_novo,fuel_type,engine_type,direct_injection,displacement(cm³),power(cv),transmission_type,cylinder_number,turbo,ebd_(abs),traction_control,lane_change_blink,front_airbags,emergency_lightning,electronic_stability_control,blind_spot_monitoring,fatigue_detection,collision_mitigation_braking_system,forward_collision_warning,lane_departure,lane_keep_assist,adaptive_high_beam,cruise_control,adaptive_cruise_control,buckle_unlock_indicator_(passenger),buckle_unlock_indicator_(pilot),tpms,stop/start,gear_change_indicator,led_daytime_running_lights,led_backlight,hidraulic_steering,electric_steering,air_conditioning,automatic_air_conditioning,reverse_camera,auxiliary_parking_with_guides,rear_parking_sensors,front_and_rear_parking_sensors,parking_assistant,jam_assist,bluetooth_with_wireless_charging,hill_assist,downhill_assist,keyless_entry,start-stop_button,color_liquid_crystal_display_on_the_panel,entire_digital_and_configurable_cluster,audio_system_(as),display_audio_(da),android_auto,carplay_(apple),embedded_navigation_(nav),total_itens,prices
0,AUDI,I/AUDI A1 SPB 125CV,HATCHBACK,MEDIUM,1115.0,2469.0,6.936858,1.58,GASOLINE,COMBUSTION,1,1.4,125.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,21,129008.542
1,AUDI,I/AUDI A1 SPB 125CV,HATCHBACK,MEDIUM,1115.0,2469.0,6.936858,1.58,GASOLINE,COMBUSTION,1,1.4,125.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,19,123942.533
2,AUDI,I/AUDI A1 SPB 192CV,HATCHBACK,MEDIUM,1180.0,2469.0,6.936858,1.85,GASOLINE,COMBUSTION,1,1.8,192.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,22,149688.024
3,AUDI,I/AUDI A1 SPB 192CV,HATCHBACK,MEDIUM,1180.0,2469.0,6.936858,1.87,GASOLINE,COMBUSTION,1,1.8,192.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,22,145136.204
4,AUDI,I/AUDI A3 CB 180CV,COUPE/ROADSTER,LARGE,1430.0,2595.0,7.926853,1.96,GASOLINE,COMBUSTION,1,1.8,180.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,18,220426.288
5,AUDI,I/AUDI A3 CB 180CV,COUPE/ROADSTER,LARGE,1430.0,2595.0,7.926853,2.07,GASOLINE,COMBUSTION,1,2.0,190.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,17,218509.074
6,AUDI,I/AUDI A3 CB 180CV,COUPE/ROADSTER,LARGE,1430.0,2595.0,7.926853,2.07,GASOLINE,COMBUSTION,1,2.0,190.0,DUAL CLUTCH,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,22,236802.228
7,AUDI,AUDI/A3 LM 150CV,SEDAN,LARGE,1240.0,2637.0,8.002976,1.72,FLEX,COMBUSTION,1,1.4,150.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,30,141544.344
8,AUDI,AUDI/A3 LM 150CV,SEDAN,LARGE,1240.0,2637.0,8.002976,1.72,FLEX,COMBUSTION,1,1.4,150.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,18,146283.40099999998
9,AUDI,AUDI/A3 LM 150CV,SEDAN,LARGE,1240.0,2637.0,8.002976,1.72,FLEX,COMBUSTION,1,1.4,150.0,AUTOMATIC,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,16,144036.604
